Strain Name,Gene,Locus,TetON promoter,Bioactive screen,Unbiased screen,Transcriptional control
dnaN-FLAG-tetOn-18,dnaN,Rv0002,18,yes,yes,
gyrB-FLAG-tetOn-6,gyrB,Rv0005,6,yes,yes,
gyrA-FLAG-tetOn-10,gyrA,Rv0006,10,yes,yes,
Rv0013-TetOn 18.1,trpG,Rv0013,18,yes,yes,
leuS-FLAG-tetOn-6,leuS,Rv0041,6,yes,yes,
ino1-FLAG-tetOn-10,ino1,Rv0046c,10,yes,yes,
Rv0066c-TetOn 10.2,icd2,Rv0066c,10,yes,yes,
gca-FLAG-tetOn-18,gca,Rv0112,18,yes,yes,
Rv0282-TetOn 10.1,Rv0282,Rv0282,10,yes,yes,
Rv0283-TetOn18.1,Rv0283,Rv0283,18,yes,yes,
Rv0289-TetOn 18.1,Rv0289,Rv0289,18,yes,yes,
Rv0291-TetOn 18.1,mycP3,Rv0291,18,yes,yes,
Rv0338c-TetOn2.2,Rv0338c,Rv0338c,2,yes,yes,
dnaK-FLAG-tetOn-1,dnaK,Rv0350,1,yes,yes,
fba-tetOn2,fba,Rv0363c,2,yes,yes,
def-teton18.1,def,Rv0429c,18,yes,yes,
Rv0489-TetOn 10.2,gpm1,Rv0489,10,yes,yes,
proC-TetOn-2.1,proC,Rv0500,2,yes,yes,
hemA-tetOn-6.3,hemA,Rv0509,6,yes,yes,
hemC-TetOn6.2,hemC,Rv0510,6,yes,yes,
hemB-TetOn10.1,hemB,Rv0512,10,yes,yes,
menE- TetOn 6.1,menE,Rv0542c,6,yes,yes,
menD-TetOn 18.1,menD,Rv0555,18,yes,yes,
memH-tetOn-6.1,menH,Rv0558,6,yes,yes,
rpoB-tetOn-6.1,rpoB,Rv0667,6,yes,yes,
secY-tetOn-10.1,secY,Rv0732,10,yes,yes,
desA1-TetOn10.1,desA1,Rv0824c,10,yes,yes,
Rv0884c-TetOn 6.2,serC,Rv0884c,6,yes,yes,
mprB-TetOn 6.1,mprB,Rv0982,6,yes,yes,
metS-FLAG-tetOn-10,metS,Rv1007c,10,yes,yes,
eno-tetOn2,eno,Rv1023,2,yes,yes,
lipU-TetOn 18.1,lipU,Rv1076,18,yes,yes,
desA2-TetOn 6.1,desA2,Rv1094,6,yes,yes,
fum-tetOn10,fum,Rv1098c,10,yes,yes,
rocA-TetOn 18.1,rocA,Rv1187,18,yes,yes,
mdh-tetOn6,mdh,Rv1240,6,yes,yes,
prfA-FLAG-tetOn-2,prfA,Rv1299,2,yes,yes,
atpDC,atpDC,Rv1310 Rv1311,NA,yes,,yes
murA-FLAG-tetOn-10,murA,Rv1315,10,yes,yes,
glgB-FLAG-tetOn-6,glgB,Rv1326c,6,yes,yes,
Rv1339-FLAG-tetOn-10,Rv1339,Rv1339,10,yes,yes,
fmt-FLAG-tetOn-10,fmt,Rv1406,10,yes,yes,
